Date,Winner,Loser,WCharacter,LCharacter
3/6,fredruary,KevinKryptonite,Garlic,Garlic
3/6,SquidSlash,Friggis,Beef,Onion
3/6,Friggis,SquidSlash,Onion,Beef
3/6,Friggis,SquidSlash,Onion,Beef
3/6,SquidSlash,Friggis,Beef,Onion
3/6,SquidSlash,Friggis,Beef,Onion
3/6,TableLOL,Hitaka,Rice,Rice
3/6,TableLOL,Hitaka,Rice,Rice
3/6,TableLOL,Hitaka,Rice,Rice
3/6,Hitaka,SquidSlash,Rice,Beef
3/6,Hitaka,SquidSlash,Rice,Beef
3/6,Hitaka,SquidSlash,Rice,Beef
3/6,SquidSlash,KevinKryptonite,Beef,Onion
3/6,SquidSlash,KevinKryptonite,Beef,Beef
3/6,KevinKryptonite,SquidSlash,Garlic,Beef
3/6,fredruary,Friggis,Garlic,Onion
3/6,fredruary,Friggis,Garlic,Onion
3/6,Friggis,yewt,Onion,Garlic
3/6,Friggis,yewt,Onion,Garlic
3/6,Humongous Giraffe,KonkeyDong,Beef,Noodle
3/6,Humongous Giraffe,KonkeyDong,Beef,Noodle
2/23,Hitaka,JoRo,Rice,Garlic
2/23,Hitaka,JoRo,Rice,Garlic
2/23,JoRo,Hitaka,Garlic,Rice
2/23,Hitaka,JoRo,Rice,Garlic
2/23,JoRo,Hitaka,Garlic,Rice
2/23,JoRo,Savory Buns,Garlic,Garlic
2/23,JoRo,Savory Buns,Garlic,Onion
2/23,JoRo,Savory Buns,Garlic,Garlic
2/23,JoRo,witunfunnymat,Garlic,Garlic
2/23,JoRo,witunfunnymat,Garlic,Garlic
2/23,JoRo,witunfunnymat,Garlic,Garlic
2/23,JoRo,SquidSlash,Onion,Beef
2/23,SquidSlash,JoRo,Beef,Onion
2/23,JoRo,SquidSlash,Onion,Beef
2/23,JoRo,SquidSlash,Onion,Beef
2/23,witunfunnymat,DoomMerky,Garlic,Pork
2/23,DoomMerky,witunfunnymat,Pork,Garlic
2/23,witunfunnymat,DoomMerky,Garlic,Pork
2/23,DoomMerky,witunfunnymat,Pork,Garlic
2/23,witunfunnymat,DoomMerky,Garlic,Pork
2/23,DoomMerky,KevinKryptonite,Pork,Noodle
2/23,KevinKryptonite,DoomMerky,Noodle,Pork
2/23,KevinKryptonite,DoomMerky,Noodle,Pork
2/23,DoomMerky,KevinKryptonite,Pork,Pork
2/23,DoomMerky,KevinKryptonite,Pork,Pork
2/23,JoRo,Humongous Giraffe,Garlic,Pork
2/23,JoRo,Humongous Giraffe,Garlic,Pork
2/23,JoRo,Humongous Giraffe,Garlic,Beef
2/23,Hitaka,Savory Buns,Rice,Beef
2/23,Hitaka,Savory Buns,Rice,Beef
2/23,Hitaka,Savory Buns,Rice,Garlic
2/23,Hitaka,SquidSlash,Rice,Beef
2/23,Hitaka,SquidSlash,Rice,Beef
2/23,Hitaka,SquidSlash,Rice,Beef
2/23,Savory Buns,witunfunnymat,Noodle,Garlic
2/23,Savory Buns,witunfunnymat,Noodle,Garlic
2/23,Savory Buns,witunfunnymat,Noodle,Garlic
2/23,witunfunnymat,Humongous Giraffe,Garlic,Beef
2/23,witunfunnymat,Humongous Giraffe,Garlic,Beef
2/23,Savory Buns,JoRo,Onion,Onion
2/23,Savory Buns,JoRo,Onion,Onion
2/23,Savory Buns,DoomMerky,Garlic,Pork
2/23,Savory Buns,DoomMerky,Garlic,Pork
2/16,fredruary,Inochi,Noodle,Noodle
2/16,Inochi,fredruary,Noodle,Noodle
2/16,fredruary,Inochi,Noodle,Noodle
2/16,Inochi,fredruary,Noodle,Noodle
2/16,fredruary,Inochi,Noodle,Noodle
2/16,fredruary,Inochi,Noodle,Noodle
2/16,fredruary,Inochi,Noodle,Noodle
2/16,fredruary,Inochi,Noodle,Noodle
2/16,fredruary,KevinKryptonite,Noodle,Rice
2/16,fredruary,KevinKryptonite,Noodle,Onion
2/16,fredruary,KevinKryptonite,Noodle,Pork
2/16,KevinKryptonite,TrunksESP,Onion,Beef
2/16,KevinKryptonite,TrunksESP,Onion,Beef
2/16,TrunksESP,KevinKryptonite,Beef,Beef
2/16,KevinKryptonite,TrunksESP,Beef,Beef
2/16,TrunksESP,KevinKryptonite,Beef,Garlic
2/16,Inochi,fredruary,Noodle,Noodle
2/16,Inochi,fredruary,Noodle,Noodle
2/16,Inochi,fredruary,Noodle,Noodle
2/16,Inochi,Hitaka,Noodle,Pork
2/16,Inochi,Hitaka,Noodle,Onion
2/16,KevinKryptonite,Juni,Onion,Onion
2/16,Juni,KevinKryptonite,Onion,Onion
2/16,KevinKryptonite,Juni,Onion,Onion
2/16,KevinKryptonite,Juni,Onion,Onion
2/16,Juni,KevinKryptonite,Onion,Garlic
2/16,fredruary,KevinKryptonite,Noodle,Noodle
2/16,fredruary,KevinKryptonite,Noodle,Onion
2/16,fredruary,KevinKryptonite,Noodle,Garlic
2/16,Juni,shygybeats,Onion,Pork
2/16,shygybeats,Juni,Pork,Onion
2/16,Juni,shygybeats,Onion,Pork
2/16,shygybeats,Venom578,Pork,Onion
2/16,shygybeats,Venom578,Pork,Onion
2/16,Hitaka,shygybeats,Onion,Pork
2/16,Hitaka,shygybeats,Onion,Pork
2/16,JoRo,KevinKryptonite,Garlic,Garlic
2/16,JoRo,KevinKryptonite,Garlic,Garlic
2/16,KevinKryptonite,JoRo,Garlic,Garlic
2/16,KevinKryptonite,TrunksESP,Garlic,Pork
2/16,Inochi,Juni,Noodle,Onion
2/16,Inochi,Juni,Noodle,Onion
2/16,shygybeats,lil_seg,Pork,Onion
2/16,shygybeats,lil_seg,Pork,Onion
2/9,TableLOL,fredruary,Rice,Rice
2/9,TableLOL,fredruary,Rice,Rice
2/9,TableLOL,fredruary,Rice,Rice
2/9,fredruary,KevinKryptonite,Rice,Garlic
2/9,fredruary,KevinKryptonite,Rice,Garlic
2/9,fredruary,KevinKryptonite,Rice,Garlic
2/9,KevinKryptonite,fredruary,Garlic,Rice
2/9,KevinKryptonite,fredruary,Garlic,Rice
2/9,TableLOL,KevinKryptonite,Rice,Garlic
2/9,TableLOL,KevinKryptonite,Rice,Garlic
2/9,TableLOL,KevinKryptonite,Rice,Garlic
2/9,fredruary,Inochi,Rice,Onion
2/9,Inochi,fredruary,Onion,Rice
2/9,fredruary,Inochi,Rice,Noodle
2/9,fredruary,Inochi,Rice,Noodle
2/9,Inochi,Juni,Noodle,Onion
2/9,Inochi,Juni,Noodle,Onion
2/9,Inochi,Juni,Noodle,Onion
2/9,KevinKryptonite,Hitaka,Garlic,Rice
2/9,Hitaka,KevinKryptonite,Rice,Garlic
2/9,KevinKryptonite,Hitaka,Garlic,Rice
2/9,Hitaka,KevinKryptonite,Rice,Garlic
2/9,TableLOL,Inochi,Rice,Noodle
2/9,TableLOL,Inochi,Rice,Noodle
2/9,TableLOL,Inochi,Rice,Noodle
2/9,KevinKryptonite,Friggis,Garlic,Onion
2/9,KevinKryptonite,Friggis,Garlic,Onion
2/9,Inochi,E_Sid,Noodle,Beef
2/9,Inochi,E_Sid,Noodle,Onion
2/9,DoomMerky,Flameburst97,Pork,Beef
2/9,DoomMerky,Flameburst97,Pork,Beef
2/2,fredruary,Hitaka,Rice,Rice
2/2,Hitaka,fredruary,Rice,Rice
2/2,fredruary,Hitaka,Rice,Rice
2/2,fredruary,Hitaka,Rice,Rice
2/2,Hitaka,DoomMerky,Rice,Pork
2/2,Hitaka,DoomMerky,Rice,Pork
2/2,Hitaka,DoomMerky,Rice,Pork
2/2,Hitaka,KevinKryptonite,Rice,Beef
2/2,Hitaka,KevinKryptonite,Rice,Garlic
2/2,Hitaka,KevinKryptonite,Rice,Garlic
2/2,fredruary,DoomMerky,Rice,Pork
2/2,fredruary,DoomMerky,Rice,Pork
2/2,fredruary,DoomMerky,Rice,Pork
2/2,TrunksESP,KevinKryptonite,Garlic,Garlic
2/2,TrunksESP,KevinKryptonite,Garlic,Onion
2/2,KevinKryptonite,TrunksESP,Onion,Onion
2/2,TrunksESP,KevinKryptonite,Onion,Garlic
2/2,KevinKryptonite,TrunksESP,Garlic,Pork
2/2,shygybeats,DoomMerky,Pork,Pork
2/2,shygybeats,DoomMerky,Pork,Pork
2/2,shygybeats,DoomMerky,Pork,Pork
2/2,KevinKryptonite,mpaulweeks,Garlic,Noodle
2/2,KevinKryptonite,mpaulweeks,Garlic,Noodle
2/2,fredruary,TrunksESP,Rice,Garlic
2/2,fredruary,TrunksESP,Rice,Pork
2/2,fredruary,TrunksESP,Rice,Pork
2/2,TrunksESP,fredruary,Pork,Rice
2/2,Hitaka,KevinKryptonite,Rice,Garlic
2/2,KevinKryptonite,Hitaka,Garlic,Rice
2/2,Hitaka,KevinKryptonite,Rice,Garlic
2/2,mpaulweeks,Mr Kh8n,Pork,Pork
2/2,Mr Kh8n,mpaulweeks,Pork,Pork
2/2,mpaulweeks,Mr Kh8n,Pork,Pork
2/2,DoomMerky,mpaulweeks,Pork,Garlic
2/2,mpaulweeks,DoomMerky,Garlic,Pork
2/2,DoomMerky,mpaulweeks,Pork,Garlic
2/2,DoomMerky,CptnPlant,Pork,Garlic
2/2,CptnPlant,DoomMerky,Garlic,Pork
2/2,DoomMerky,CptnPlant,Pork,Garlic
1/26,TableLOL,fredruary,Pork,Rice
1/26,TableLOL,fredruary,Pork,Rice
1/26,TableLOL,fredruary,Pork,Rice
1/26,TableLOL,fredruary,Pork,Rice
1/26,TableLOL,fredruary,Pork,Rice
1/26,TableLOL,fredruary,Pork,Rice
1/26,TableLOL,Hitaka,Pork,Rice
1/26,Hitaka,TableLOL,Rice,Pork
1/26,TableLOL,Hitaka,Pork,Rice
1/26,TableLOL,Hitaka,Pork,Rice
1/26,TableLOL,TrunksESP,Pork,Garlic
1/26,TableLOL,TrunksESP,Pork,Pork
1/26,TableLOL,TrunksESP,Pork,Pork
1/26,TrunksESP,KevinKryptonite,Beef,Garlic
1/26,KevinKryptonite,TrunksESP,Garlic,Garlic
1/26,TrunksESP,KevinKryptonite,Garlic,Onion
1/26,TrunksESP,KevinKryptonite,Garlic,Noodle
1/26,fredruary,Hitaka,Rice,Rice
1/26,Hitaka,fredruary,Rice,Rice
1/26,fredruary,Hitaka,Rice,Rice
1/26,fredruary,Hitaka,Rice,Rice
1/26,fredruary,KevinKryptonite,Rice,Rice
1/26,fredruary,KevinKryptonite,Rice,Garlic
1/26,fredruary,KevinKryptonite,Rice,Pork
1/26,Hitaka,TableLOL,Rice,Pork
1/26,TableLOL,Hitaka,Pork,Rice
1/26,TableLOL,Hitaka,Pork,Rice
1/26,Hitaka,TableLOL,Rice,Pork
1/26,Hitaka,TableLOL,Rice,Pork
1/26,fredruary,Squidslash,Rice,Beef
1/26,fredruary,Squidslash,Rice,Beef
1/26,fredruary,Flameburst97,Rice,Beef
1/26,fredruary,Flameburst97,Onion,Beef
1/20,Meep,TableLOL,Garlic,Onion
1/20,Meep,TableLOL,Garlic,Onion
1/20,TableLOL,Meep,Onion,Garlic
1/20,TableLOL,Meep,Onion,Garlic
1/20,Meep,TableLOL,Garlic,Onion
1/20,TableLOL,Hitaka,Onion,Garlic
1/20,Hitaka,TableLOL,Garlic,Onion
1/20,TableLOL,Hitaka,Onion,Garlic
1/20,Hitaka,TableLOL,Rice,Onion
1/20,TableLOL,Hitaka,Onion,Rice
1/20,TableLOL,Cheese Eater,Onion,Pork
1/20,Cheese Eater,TableLOL,Pork,Onion
1/20,TableLOL,Cheese Eater,Onion,Pork
1/20,Cheese Eater,TableLOL,Pork,Onion
1/20,TableLOL,Cheese Eater,Onion,Pork
1/20,Meep,Hitaka,Garlic,Rice
1/20,Meep,Hitaka,Garlic,Rice
1/20,Meep,Hitaka,Garlic,Rice
1/20,Hitaka,Meep,Rice,Garlic
1/20,TableLOL,fredruary,Onion,Rice
1/20,TableLOL,fredruary,Onion,Rice
1/20,TableLOL,fredruary,Onion,Rice
1/20,Cheese Eater,TrunksESP,Pork,Garlic
1/20,TrunksESP,Cheese Eater,Garlic,Pork
1/20,Cheese Eater,TrunksESP,Pork,Garlic
1/20,Cheese Eater,TrunksESP,Pork,Onion
1/20,Hitaka,TableLOL,Rice,Onion
1/20,Hitaka,TableLOL,Rice,Onion
1/20,Hitaka,TableLOL,Rice,Onion
1/20,Meep,TrunksESP,Garlic,Onion
1/20,Meep,TrunksESP,Garlic,Garlic
1/20,Meep,TrunksESP,Garlic,Garlic
1/20,TrunksESP,Meep,Garlic,Garlic
1/20,TrunksESP,fredruary,Garlic,Rice
1/20,TrunksESP,fredruary,Garlic,Rice
1/20,Meep,liz,Garlic,Garlic
1/20,Meep,liz,Garlic,Beef
1/20,liz,Flameburst97,Beef,Beef
1/20,liz,Flameburst97,Beef,Beef
1/12,Meep,TrunksESP,Garlic,Beef
1/12,Meep,TrunksESP,Garlic,Garlic
1/12,Meep,TrunksESP,Garlic,Onion
1/12,TrunksESP,Maximum Bloop,Beef,Rice
1/12,TrunksESP,Maximum Bloop,Beef,Rice
1/12,TrunksESP,Maximum Bloop,Beef,Rice
1/12,Maximum Bloop,TrunksESP,Rice,Garlic
1/12,TrunksESP,Inochi,Garlic,Onion
1/12,TrunksESP,Inochi,Garlic,Onion
1/12,TrunksESP,Inochi,Garlic,Onion
1/12,Inochi,TrunksESP,Onion,Beef
1/12,Inochi,TrunksESP,Onion,Garlic
1/12,Maximum Bloop,KevinKryptonite,Garlic,Pork
1/12,KevinKryptonite,Maximum Bloop,Pork,Rice
1/12,Maximum Bloop,KevinKryptonite,Rice,Rice
1/12,Maximum Bloop,KevinKryptonite,Rice,Garlic
1/12,KevinKryptonite,Maximum Bloop,Garlic,Rice
1/12,Inochi,mpaulweeks,Noodle,Onion
1/12,Inochi,mpaulweeks,Noodle,Onion
1/12,mpaulweeks,AndreiRex,Onion,Pork
1/12,mpaulweeks,AndreiRex,Onion,Pork
1/12,Maximum Bloop,mpaulweeks,Onion,Onion
1/12,Maximum Bloop,mpaulweeks,Onion,Onion
1/12,Maximum Bloop,E_Sid,Rice,Onion
1/12,Maximum Bloop,E_Sid,Rice,Beef
12/30/2023,Askadoodle,fredruary,Garlic,Onion
12/30/2023,Askadoodle,fredruary,Garlic,Onion
12/30/2023,Askadoodle,fredruary,Garlic,Onion
12/30/2023,Askadoodle,fredruary,Garlic,Onion
12/30/2023,Askadoodle,fredruary,Garlic,Onion
12/30/2023,Askadoodle,fredruary,Garlic,Onion
12/30/2023,fredruary,Askadoodle,Onion,Garlic
12/30/2023,Askadoodle,Highrow,Garlic,Beef
12/30/2023,Askadoodle,Highrow,Garlic,Beef
12/30/2023,Askadoodle,Highrow,Garlic,Beef
12/30/2023,fredruary,Hitaka,Onion,Rice
12/30/2023,fredruary,Hitaka,Onion,Rice
12/30/2023,Hitaka,fredruary,Rice,Onion
12/30/2023,fredruary,Hitaka,Onion,Rice
12/30/2023,Hitaka,fredruary,Rice,Onion
12/30/2023,Highrow,JoRo,Beef,Beef
12/30/2023,Highrow,JoRo,Beef,Beef
12/30/2023,Highrow,JoRo,Beef,Onion
12/30/2023,JoRo,aprl,Onion,Pork
12/30/2023,JoRo,aprl,Onion,Rice
12/30/2023,aprl,JoRo,Rice,Beef
12/30/2023,Askadoodle,TrunksESP,Garlic,Beef
12/30/2023,TrunksESP,Askadoodle,Beef,Garlic
12/30/2023,Askadoodle,TrunksESP,Garlic,Garlic
12/30/2023,Askadoodle,TrunksESP,Garlic,Garlic
12/30/2023,Hitaka,Highrow,Rice,Beef
12/30/2023,Hitaka,Highrow,Rice,Beef
12/30/2023,Hitaka,Highrow,Rice,Beef
12/30/2023,fredruary,TrunksESP,Onion,Pork
12/30/2023,fredruary,TrunksESP,Onion,Pork
12/30/2023,fredruary,TrunksESP,Onion,Garlic
12/30/2023,Highrow,Askadoodle,Beef,Garlic
12/30/2023,Highrow,Askadoodle,Beef,Garlic
12/30/2023,Askadoodle,Highrow,Garlic,Beef
12/30/2023,Highrow,Prickle Fish,Beef,Beef
12/30/2023,Highrow,Prickle Fish,Beef,Pork
12/23,TableLOL,fredruary,Rice,Rice
12/23,fredruary,TableLOL,Rice,Rice
12/23,fredruary,TableLOL,Rice,Rice
12/23,TableLOL,fredruary,Rice,Onion
12/23,TableLOL,fredruary,Rice,Onion
12/23,fredruary,TableLOL,Onion,Rice
12/23,TableLOL,fredruary,Rice,Onion
12/23,fredruary,TableLOL,Onion,Rice
12/23,fredruary,TableLOL,Onion,Rice
12/23,fredruary,TrunksESP,Onion,Garlic
12/23,fredruary,TrunksESP,Onion,Garlic
12/23,fredruary,TrunksESP,Onion,Garlic
12/23,fredruary,mpaulweeks,Onion,Onion
12/23,fredruary,mpaulweeks,Onion,Onion
12/23,fredruary,mpaulweeks,Onion,Onion
12/23,mpaulweeks,Squidslash,Onion,Beef
12/23,Squidslash,mpaulweeks,Beef,Onion
12/23,Squidslash,mpaulweeks,Beef,Onion
12/23,mpaulweeks,Squidslash,Onion,Garlic
12/23,mpaulweeks,Squidslash,Onion,Beef
12/23,TableLOL,TrunksESP,Rice,Garlic
12/23,TableLOL,TrunksESP,Rice,Pork
12/23,TableLOL,TrunksESP,Rice,Garlic
12/23,Squidslash,Hitaka,Beef,Rice
12/23,Squidslash,Hitaka,Beef,Rice
12/23,Hitaka,Squidslash,Rice,Beef
12/23,Hitaka,Squidslash,Rice,Beef
12/23,Squidslash,Hitaka,Beef,Rice
12/23,TrunksESP,mpaulweeks,Beef,Onion
12/23,TrunksESP,mpaulweeks,Beef,Onion
12/23,TrunksESP,mpaulweeks,Beef,Garlic
12/23,mpaulweeks,TrunksESP,Garlic,Garlic
12/23,TableLOL,fredruary,Rice,Onion
12/23,TableLOL,fredruary,Rice,Onion
12/23,TableLOL,fredruary,Rice,Onion
12/23,fredruary,TableLOL,Onion,Rice
12/23,Savory Buns,LoraLoibu,Garlic,Pork
12/23,Savory Buns,LoraLoibu,Garlic,Pork
12/23,Savory Buns,LoraLoibu,Garlic,Pork
12/23,Savory Buns,shygybeats,Garlic,Pork
12/23,Savory Buns,shygybeats,Garlic,Pork
12/23,mpaulweeks,shygybeats,Garlic,Pork
12/23,mpaulweeks,shygybeats,Garlic,Pork
12/23,shygybeats,mpaulweeks,Pork,Garlic
12/23,shygybeats,kyochan,Pork,Rice
12/23,shygybeats,kyochan,Pork,Rice
12/23,kyochan,shygybeats,Rice,Pork